bluetooth,brand,clavier,lieu_fabrication,frequence,lecteur_empreinte,lecteur_carte_memoire,RAM,nb_coeurs,norme_wifi,poids,price,processeur,product_type,OS,taille_ecran,type_resolution,webcam,model_CG,marque_CG,tactile,longueur,hauteur,profondeur,resolution1,resolution2,SSD,HDD,eMMC
4,APPLE,rétroéclairé,France,2.4,Non,Non,4,2.0,WIFI 4 (N),1.6,524,INTEL CORE I5,"APPLE Retina 13'' 2013 i5 2,4 Ghz 4 Go 256 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,31.4,1.9,21.9,2560,1600,256,0,0
4,HP,standard,Chine,2.0,Non,Non,8,15.0,WIFI 4 (N),1.6,338,INTEL CORE I5,HP EliteBook 840 G2 - 8Go - SSD 128Go Reconditionné,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,128,0,0
4,HP,standard,Chine,2.0,Non,Non,8,15.0,WIFI 5 (N/AC),1.9,431,INTEL CORE I5,HP EliteBook 850 G3 - 8Go - SSD 256Go Reconditionné,Windows,15.6,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,256,0,0
5,APPLE,standard,Chine,1.6,Non,Non,4,2.0,WIFI 6 (AX),1.8,319,INTEL CORE I5,"Ordinateur APPLE APPLE Pro 13"" 2011 i5 2.4Ghz 6GB 500GB HDD Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,0,500,0
5,APPLE,standard,Chine,1.6,Non,Non,4,2.0,WIFI 6 (AX),1.8,359,INTEL CORE I5,"Ordinateur APPLE APPLE Pro 13"" 2012 i5 2.5Ghz 4GB 128GB SSD Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,128,0,0
5.1,LENOVO,standard,Chine,1.1,Non,Oui,4,2.0,WIFI 6 (AX),1.6,399,INTEL CELERON,Ordinateur portable LENOVO IdeaPad 115IJL7 +O365 Perso,Windows,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,23.6,36.02,1.79,1920,1080,128,0,0
5,MACBOOK,rétroéclairé,Chine,1.6,Non,Oui,8,2.0,WIFI 5 (N/AC),1.3,535,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Air 13"" i5 1,6 Ghz 128 Go SSD Reconditionné",No OS,13.3,HD,Oui,NULL,NULL,False,32.5,1.7,22.7,1440,900,128,0,0
5.2,HP,rétroéclairé,Chine,2.9,Oui,Non,16,4.0,WIFI 6 (AX),2.5,1199,INTEL CORE I7,Ordinateur portable HP Envy 17-ch1056nf,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,25.9,1.99,39.61,1920,1080,1000,0,0
4,ORDISSIMO,standard,Chine,1.1,Non,Oui,4,2.0,WIFI 5 (N/AC),1.5,449,INTEL CELERON,Ordinateur portable ORDISSIMO Hybride Julia 2 tactile,Linux,13.3,Full HD,Oui,ORIGINE,ORIGINE,False,21.0,31.8,1.34,1920,1080,128,0,0
5,MACBOOK,standard,Chine,2.2,Non,Non,8,2.0,WIFI 5 (N/AC),1.4,749,INTEL CORE I7,MACBOOK MacBook Air 2017 13' i7 8Go 512SSD Reconditionné,Mac,13.3,HD,Oui,ORIGINE,ORIGINE,False,32.5,1.7,22.7,1440,900,512,0,0
5,APPLE,standard,Chine,1.6,Non,Non,4,2.0,WIFI 6 (AX),1.8,229,INTEL CORE I5,"Ordinateur APPLE APPLE Air 11"" 2013 i5 1.3Ghz 4GB 128GB SSD Reconditionné",Mac,11.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,128,0,0
5.2,MSI,rétroéclairé,Chine,2.5,Non,Oui,64,14.0,WIFI 6E,2.9,8005,INTEL CORE I9,PC Gamer MSI Raider GE76 12UHS-229FR,Windows,17.3,UHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.7,2.5,28.4,3840,2160,2000,0,0
5.2,MSI,rétroéclairé,Chine,1.8,Oui,Oui,16,14.0,WIFI 6E,1.6,1789,INTEL CORE I7,PC Gamer MSI Summit E14Flip A12MT-042FR,Windows,14.0,QHD,Oui,INTEL_IRIS,INTEL,False,31.4,1.79,22.75,2880,1800,1000,0,0
4.2,HP,standard,Chine,1.1,Non,Non,4,2.0,WIFI 5 (N/AC),2.0,379,INTEL CELERON,Ordinateur portable HP 17-cn0422nf,Windows,17.3,HD+,Oui,ORIGINE,ORIGINE,False,40.07,1.99,25.78,1600,900,256,0,0
5,MICROSOFT,détachable,Chine,3.15,Non,Non,16,8.0,WIFI 6 (AX),0.774,1457,QUALCOMM,PC Hybride MICROSOFT Surface ProX Wifi 13' SQ2/16/256 Platine,Windows,13.0,Full HD,Oui,AMD_RADEON,AMD,False,28.75,20.86,0.73,2880,1920,256,0,0
5,MACBOOK,standard,Chine,2.7,Non,Non,16,6.0,WIFI 5 (N/AC),1.8,559,INTEL CORE I7,"MACBOOK Retina 15"" 2013 i7 2.7Ghz 16GB 512GB SSD Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1280,800,128,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,16,14.0,WIFI 6E,2.4,2459,INTEL CORE I7,PC Gamer MSI Vector GP66 12UGSO-618FR,Windows,15.6,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.8,2.34,26.7,2560,1440,1000,0,0
4.1,LENOVO,rétroéclairé,Chine,2.3,Oui,Non,8,4.0,WIFI 5 (N/AC),1.6,728,INTEL CORE I5,Ordinateur portable LENOVO Ideapad C340-14IWL-485 Reconditionné,Windows,13.3,Full HD,Non,NULL,NULL,True,22.9,32.8,1.79,1920,1080,0,0,0
5,MACBOOK,rétroéclairé,Chine,3.49,Non,Non,16,8.0,WIFI 6 (AX),1.4,1699,PUCE APPLE M2,Ordinateur Apple MACBOOK CTO PRO 13 M2 16Go 256Go argent,Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.56,21.24,2560,1600,256,0,0
4,MACBOOK,nc,Chine,2.3,Non,Oui,8,4.0,NC,1.6,829,INTEL CORE I5,Ordinateur Apple MACBOOK Pro Retina 13.3 2.9GHZ 8GB 512go Reconditionné,No OS,13.3,Full HD,Non,NULL,NULL,False,31.4,1.8,21.9,2560,1600,0,0,0
5.1,HUAWEI,standard,Chine,3.3,Oui,Non,16,8.0,WIFI 6 (AX),1.7,899,INTEL CORE I5,Ordinateur portable HUAWEI Pack Matebook D16 + souris + M365,Windows,16.0,Full HD,Oui,ORIGINE,ORIGINE,False,35.67,24.87,1.84,1920,1200,512,0,0
4,LENOVO,standard,Taïwan,2.4,Non,Oui,8,2.0,WIFI 5 (N/AC),5.0,299,INTEL CORE I5,Ordinateur portable reconditionné LENOVO ThinkPad T470 - 8Go - SSD 256Go Reconditionné,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,23.2,2.39,33.5,1920,1080,256,0,0
5,APPLE,standard,Chine,1.6,Non,Non,8,2.0,WIFI 6 (AX),1.8,319,INTEL CORE I5,"Ordinateur APPLE APPLE Air 13"" 2013 i5 2.7Ghz 8GB 128GB SSD Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,128,0,0
5,APPLE,standard,Chine,1.6,Non,Non,2,2.0,WIFI 6 (AX),1.8,265,INTEL PENTIUM,"Ordinateur APPLE APPLE Air 11"" 2010 2 Duo 1.4Ghz 2GB 128GB SSD Reconditionné",Mac,11.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,128,0,0
4,APPLE,rétroéclairé,France,2.8,Non,Non,8,2.0,WIFI 4 (N),1.6,459,INTEL CORE I5,"APPLE Retina 13'' 2014 i5 2,8 Ghz 8 Go 1 To Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,31.4,1.9,21.9,2560,1600,1000,0,0
4,APPLE,rétroéclairé,France,2.9,Non,Non,16,2.0,WIFI 4 (N),1.6,619,INTEL CORE I5,"APPLE Retina 13'' 2015 i5 2,9 Ghz 16 Go 1 To Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,31.4,1.9,21.9,2560,1600,1000,0,0
5,MACBOOK,rétroéclairé,Chine,0.0,Oui,Non,8,8.0,WIFI 6 (AX),1.2,1299,PUCE APPLE M2,Ordinateur Apple MACBOOK AIR M2 8 256 Lumiere Stellaire,Mac,13.6,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.13,21.5,2560,1664,256,0,0
5,MACBOOK,rétroéclairé,Chine,0.0,Non,Non,8,8.0,WIFI 6 (AX),1.4,1629,PUCE APPLE M2,Ordinateur Apple MACBOOK PRO 13'' M2 8 512 Gris sideral,Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.56,21.24,2560,1600,512,0,0
5.2,HP,rétroéclairé,Chine,0.0,Non,Non,8,6.0,WIFI 6 (AX),2.5,599,AMD RYZEN 5,PC Gamer HP VICTUS 16-e0125nf,Windows,16.1,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,37.0,2.35,26.0,1920,1080,512,0,0
4.2,HP,standard,Chine,2.0,Non,Non,8,15.0,WIFI 5 (N/AC),1.5,260,INTEL CORE I5,HP EliteBook 840 G3 - 8Go - SSD 128Go Reconditionné,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,128,0,0
4,APPLE,rétroéclairé,France,2.8,Non,Non,16,4.0,WIFI 4 (N),2.0,759,INTEL CORE I7,"APPLE Retina 15'' 2015 i7 2,8 Ghz 16 Go 256 Go Reconditionné",Mac,15.4,Retina,Oui,AMD_RADEON,AMD,False,35.89,1.8,24.71,2880,1800,256,0,0
4.2,APPLE,rétroéclairé,France,2.6,Non,Non,16,4.0,WIFI 4 (N),1.8,929,INTEL CORE I7,"APPLE TouchBar 15'' 2016 i7 2,6Ghz 16Go 256 Go Reconditionné",Mac,15.4,Retina,Oui,ORIGINE,ORIGINE,False,34.93,1.55,24.07,2880,1800,256,0,0
5,MACBOOK,rétroéclairé,Chine,2.2,Non,Oui,8,4.0,WIFI 4 (N),2.5,669,INTEL CORE I7,"Ordinateur Apple MACBOOK MacBook Pro 15"" i7 2,2 Ghz 256 Go SSD Reconditionné",No OS,15.4,HD,Oui,NULL,NULL,False,36.4,2.41,24.9,1680,1050,256,0,0
5,ACER,rétroéclairé,Chine,2.3,Non,Non,16,4.0,WIFI 5 (N/AC),2.9,1769,INTEL CORE I7,PC Gamer ACER Predator Helios 300 PH317-53-741L Noir Reconditionné,Windows,17.3,Full HD,Non,NULL,NULL,False,28.0,40.35,2.47,1920,1080,0,0,0
5.1,LG,rétroéclairé,Corée du Sud,2.8,Oui,Oui,16,4.0,WIFI 6 (AX),1.2,1499,INTEL CORE I7,Ordinateur portable LG GRAM 16Z90P-G.AD75F EVO,Windows,16.0,WQXGA,Oui,INTEL_IRIS,INTEL,False,24.3,35.6,1.7,2560,1600,512,0,0
4.2,MACBOOK,rétroéclairé,Chine,2.3,Non,Non,8,4.0,WIFI 5 (N/AC),1.8,1267,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 15'' i7 512Go Argent Touch Bar Reconditionné,Mac,15.4,Full HD,Non,AMD_RADEON,AMD,False,34.93,1.55,24.07,2880,1800,0,0,0
5.2,ASUS,rétroéclairé,Chine,2.5,Non,Oui,32,14.0,WIFI 6 (AX),1.9,3199,INTEL CORE I9,PC Gamer ASUS ZEPHYRUS-M16-GU603ZW-008W,Windows,16.0,WQXGA,Non,NVIDIA_GEFORCE,NVIDIA,False,24.3,2.3,35.5,2560,1600,1000,0,0
5.2,ASUS,rétroéclairé,Chine,3.1,Non,Non,8,4.0,WIFI 6 (AX),2.0,699,INTEL CORE I5,PC Gamer ASUS DASH-TUF516PC-HN114W,Windows,15.6,Full HD,Non,NVIDIA_GEFORCE,NVIDIA,False,25.2,2.0,36.0,1920,1080,512,0,0
5,APPLE,standard,Chine,1.333,Non,Non,4,2.0,WIFI 6 (AX),1.8,689,INTEL CORE I7,"Ordinateur APPLE APPLE Pro 15"" 2011 i7 2.0Ghz 10GB 500GB HDD Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,0,500,0
4,HP,standard,Chine,2.0,Non,Non,8,8.0,WIFI 4 (N),1.6,321,INTEL CORE I5,HP EliteBook 840 G1 - 8Go - SSD 256Go Reconditionné,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,256,0,0
5,HP,standard,Chine,2.3,Oui,Oui,8,8.0,WIFI 5 (N/AC),1.3,709,INTEL CORE I5,Ordinateur portable HP Spectre x360 13-ap0011nf Reconditionné,Windows,13.3,Full HD,Non,NULL,NULL,False,21.79,1.47,30.88,1920,1080,0,0,0
5.2,RAZER,rétroéclairé,Chine,2.5,Non,Oui,32,16.0,WIFI 6 (AX),2.5,3999,INTEL CORE I7,PC Gamer RAZER BLADE 17 -QHD 240Hz-RTX3080 TI,Windows,17.3,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.0,1.9,26.0,2560,1440,1000,0,0
5,HP,nc,Chine,2.1,Non,Non,8,4.0,WIFI 5 (N/AC),1.5,1138,AMD RYZEN 5,Ordinateur portable HP 245 Pro G8,Windows,14.0,Full HD,Oui,AMD_RADEON,AMD,False,32.4,22.59,22.4,1920,1080,256,0,0
5,APPLE,standard,Chine,2.2,Non,Non,8,2.0,WIFI 5 (N/AC),1.4,646,INTEL CORE I7,APPLE MacBook Air 2015 13' i7 8Go 128SSD Reconditionné,Mac,13.3,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,128,0,0
5.1,LENOVO,standard,Chine,1.8,Non,Oui,16,8.0,WIFI 6 (AX),1.6,899,AMD RYZEN 7,Ordinateur portable LENOVO Ideapad 3 15ALC6-933,Windows,15.6,Full HD,Oui,AMD_RADEON,AMD,False,23.7,35.9,2.0,1920,1080,512,0,0
5,HP,rétroéclairé,Chine,2.3,Non,Oui,16,8.0,WIFI 5 (N/AC),3.3,1010,INTEL CORE I5,PC Gamer HP Omen 17-cb1005nf Reconditionné,Windows,17.3,Full HD,Non,NULL,NULL,False,28.5,40.5,2.99,1920,1080,0,0,0
5.2,MSI,rétroéclairé,Chine,2.5,Non,Oui,16,12.0,WIFI 6 (AX),2.6,1379,INTEL CORE I5,PC Gamer MSI KATANA GF76 12UC-207XFR,FreeDOS,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.8,2.52,27.3,1920,1080,1000,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,64,14.0,WIFI 6E,2.9,5357,INTEL CORE I9,PC Gamer MSI Raider GE77HX 12UHS-050FR,Windows,17.3,UHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.7,2.59,28.4,3840,2160,2000,0,0
5,APPLE,standard,Chine,1.6,Non,Non,8,2.0,WIFI 6 (AX),1.8,359,INTEL CORE I5,"Ordinateur APPLE APPLE Pro Retina 13"" 2012 i5 2.5Ghz 8GB 256GB Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,256,0,0
5,APPLE,standard,Chine,1.6,Non,Non,4,2.0,WIFI 6 (AX),1.8,269,INTEL CORE I5,"Ordinateur APPLE APPLE Air 13"" 2014 i5 2.7Ghz 4GB 128GB SSD Reconditionné",Mac,12.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,128,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Oui,Oui,32,14.0,WIFI 6E,2.5,3479,INTEL CORE I7,PC Gamer MSI Creator Z17 A12UGST-013FR,Windows,17.3,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,38.2,1.9,26.0,2560,1600,2000,0,0
5,MACBOOK,rétroéclairé,Chine,2.0,Non,Non,8,2.0,WIFI 5 (N/AC),1.4,699,INTEL CORE I5,Ordinateur Apple MACBOOK MacBook Pro Retina 13 i5 2 Ghz 256Go Reconditionné,No OS,13.3,Retina,Oui,NULL,NULL,False,30.41,1.49,21.24,2560,1600,256,0,0
5.1,LENOVO,rétroéclairé,Chine,3.3,Non,Oui,32,8.0,WIFI 6 (AX),1.9,1699,AMD RYZEN 9,PC Gamer LENOVO Ideapad 5 Pro 16ACH6-495,Windows,16.0,Full HD,Non,NVIDIA_GEFORCE,NVIDIA,False,25.1,35.6,1.84,2560,1600,1000,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,16,14.0,WIFI 6 (AX),2.2,1929,INTEL CORE I7,PC Gamer MSI Crosshair 15 R6E B12UEZ-452FR,Windows,15.6,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.9,2.3,25.9,2560,1440,1000,0,0
5,MACBOOK,standard,Chine,1.6,Non,Non,4,2.0,WIFI 5 (N/AC),1.4,620,INTEL CORE I5,MACBOOK MacBook Air 2015 13' i5 4Go 512SSD Reconditionné,Mac,13.3,HD,Oui,ORIGINE,ORIGINE,False,32.5,1.7,22.7,1440,900,512,0,0
5.1,DELL,rétroéclairé,Chine,2.6,Oui,Oui,16,6.0,WIFI 6 (AX),3.3,1459,INTEL CORE I5,PC Gamer DELL Inspiron G7 17-7700-778 Reconditionné,Windows,17.3,Full HD,Non,NULL,NULL,False,39.82,2.07,29.0,1920,1080,0,0,0
5,HUAWEI,standard,Chine,1.8,Oui,Non,1,4.0,WIFI 5 (N/AC),1.3,1287,INTEL CORE I5,Ordinateur portable HUAWEI Matebook X Pro (2020) I7 16 1To Touch Reconditionné,Windows,13.3,3K,Oui,NVIDIA_GEFORCE,NVIDIA,True,21.7,30.4,1.46,3000,2000,1000,0,0
4,DELL,standard,Taïwan,2.6,Non,Non,8,2.0,WIFI 5 (N/AC),1.8,389,INTEL CORE I5,Ordinateur portable reconditionné DELL Latitude 5280 - 8Go - SSD 256Go Reconditionné,Windows,12.5,HD,Oui,ORIGINE,ORIGINE,False,21.1,2.39,30.9,1366,768,256,0,0
5,MACBOOK,nc,Irlande,3.1,Non,Oui,32,8.0,WIFI 6 (AX),1.6,2399,PUCE APPLE M1,Ordinateur Apple MACBOOK CTO Pro 14 M1 32Go 512Go Gris sideral,Mac,14.0,Retina,Oui,ORIGINE,ORIGINE,False,31.26,1.55,22.12,3024,1964,512,0,0
5,MACBOOK,rétroéclairé,Chine,0.0,Oui,Non,8,8.0,WIFI 6 (AX),1.2,1649,PUCE APPLE M2,Ordinateur Apple MACBOOK AIR M2 8 512 Gris Sideral,Mac,13.6,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.13,21.5,2560,1664,512,0,0
5.2,RAZER,rétroéclairé,Chine,2.5,Non,Oui,16,14.0,WIFI 6 (AX),2.5,3399,INTEL CORE I7,PC Gamer RAZER BLADE 17 -FHD 360Hz-RTX3070 TI,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.0,1.99,26.0,2100,1800,1000,0,0
5,MACBOOK,rétroéclairé,Chine,2.3,Non,Oui,8,4.0,WIFI 4 (N),2.0,359,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Pro 13"" i5 2,5 Ghz 128 Go SSD Reconditionné",Mac,13.3,Full HD,Non,NULL,NULL,False,32.5,2.4,22.7,1280,800,0,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,32,14.0,WIFI 6E,2.9,3769,INTEL CORE I7,PC Gamer MSI GE76 Raider 12UH-097FR,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.7,2.59,28.4,1920,1080,1000,0,0
4,MACBOOK,nc,Chine,2.3,Non,Oui,8,4.0,WIFI 4 (N),2.5,649,INTEL CORE I5,Portable MACBOOK Pro 15 2.3ghz 4go 500go Reconditionné,Mac,15.4,Full HD,Non,NVIDIA_GEFORCE,NVIDIA,False,36.4,2.41,24.9,1440,900,0,0,0
5,DELL,standard,Chine,3.1,Non,Oui,4,4.0,WIFI 5 (N/AC),1.9,349,INTEL PENTIUM,Ordinateur portable DELL Inspiron 15 3521,Windows,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,35.85,1.69,23.56,1920,1080,0,128,0
5.1,ACER,rétroéclairé,Chine,2.3,Non,Non,16,8.0,WIFI 6 (AX),2.9,1602,INTEL CORE I7,PC Gamer ACER Predator Helios 300 PH317-55-70MR Reconditionné,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,40.3,28.0,2.47,1920,1080,1000,0,0
5,MACBOOK,rétroéclairé,Chine,3.1,Oui,Non,8,8.0,WIFI 6 (AX),1.3,999,PUCE APPLE M1,Ordinateur Apple MACBOOK AIR New M1 8 256 Gris Sideral,Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.61,21.24,2560,1600,256,0,0
5,APPLE,standard,Chine,1.333,Non,Non,16,2.0,WIFI 6 (AX),1.8,1059,INTEL CORE I7,"Ordinateur APPLE APPLE Pro 15"" 2018 i7 2.6Ghz 16GB 512GB SSD Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,512,0,0
5.2,HP,rétroéclairé,Chine,3.4,Oui,Non,32,12.0,WIFI 6E,2.0,2499,INTEL CORE I7,PC Hybride HP 16-f1003nf,Windows,16.0,UHD,Oui,INTEL_ARC,INTEL,False,35.8,1.99,24.53,3840,2400,1000,0,0
5.1,LENOVO,standard,Chine,4.4,Non,Oui,8,6.0,WIFI 6 (AX),1.6,1099,AMD RYZEN 7,Ordinateur portable LENOVO Ideapad 5 Pro 16ACH6-902,Windows,16.0,QHD,Oui,AMD_RADEON,AMD,False,23.7,35.9,2.0,2560,1600,512,0,0
5,ACER,rétroéclairé,Chine,2.3,Non,Non,16,4.0,WIFI 6 (AX),2.9,1699,INTEL CORE I7,PC Gamer ACER Predator Helios 300 PH317-54-775H Reconditionné,Windows,17.3,Full HD,Non,NULL,NULL,False,28.0,40.3,2.47,1920,1080,0,0,0
5.2,MSI,rétroéclairé,Chine,1.7,Oui,Oui,16,12.0,WIFI 6E,1.9,2119,INTEL CORE I5,PC Gamer MSI Summit E16Flip A12UCT-035FR,Windows,16.0,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.8,1.6,25.8,2560,1600,1000,0,0
5,MACBOOK,rétroéclairé,Chine,3.1,Non,Oui,8,2.0,WIFI 5 (N/AC),1.6,889,INTEL CORE I7,"Ordinateur Apple MACBOOK MacBook Pro Retina 13 i7 3,1 Ghz 512Go Reconditionné",No OS,13.3,Retina,Oui,NULL,NULL,False,31.4,1.9,21.9,2560,1600,512,0,0
5,MICROSOFT,standard,Chine,1.0,Oui,Non,8,4.0,WIFI 6 (AX),1.1,1230,INTEL CORE I5,Ordinateur portable MICROSOFT Surface Laptop Go 12' I5/8/128 Platine,Windows,13.3,HD,Oui,ORIGINE,ORIGINE,True,20.6,27.8,1.57,1536,1024,128,0,0
5.1,ACER,standard,Taïwan,3.0,Non,Non,8,2.0,WIFI 6 (AX),5.0,649,INTEL CORE I3,Ordinateur portable reconditionné ACER Swift 3 SF314-59-36B3 Reconditionné,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,21.7,2.39,32.3,1920,1080,256,0,0
4.1,LENOVO,standard,Chine,2.3,Non,Non,8,4.0,WIFI 5 (N/AC),2.8,489,INTEL CORE I5,Ordinateur portable LENOVO Ideapad L340-17API-391 Reconditionné,Windows,17.3,Full HD,Non,NULL,NULL,False,28.4,41.3,2.43,1920,1080,0,0,0
5,APPLE,standard,Chine,1.333,Non,Non,16,2.0,WIFI 6 (AX),1.8,619,INTEL CORE I7,"Ordinateur APPLE APPLE Pro Retina 15"" 2012 i7 2.3Ghz 8GB 256GB Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,256,0,0
5,MACBOOK,rétroéclairé,Chine,3.3,Non,Oui,16,10.0,WIFI 6 (AX),1.6,2569,PUCE APPLE M1 PRO,Ordinateur Apple MACBOOK Pro 14 M1 Pro 1To Argent,Mac,14.0,Retina,Oui,ORIGINE,ORIGINE,False,31.26,1.55,22.12,3024,1964,1000,0,0
5,ASUS,standard,Chine,1.1,Non,Oui,4,2.0,WIFI 5 (N/AC),1.3,349,INTEL CELERON,Ordinateur portable ASUS Vivobook E410MA-BV2224WS Blanc,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,1.8,21.7,32.5,1280,800,0,0,128
5.1,MICROSOFT,détachable,Chine,6.0,Non,Non,8,4.0,WIFI 6 (AX),3.3,1399,INTEL CORE I5,PC Hybride MICROSOFT Pack Surface Pro 8 8/256 + Accessoires,Windows,13.3,Full HD,Oui,INTEL_IRIS,INTEL,True,26.2,33.0,12.7,2880,1920,256,0,0
5.1,LENOVO,standard,Chine,2.55,Non,Non,8,8.0,WIFI 6 (AX),0.65,599,QUALCOMM,Chromebook LENOVO Duet 5 CB 13Q7C6 Oled 8Go 128Go,Chrome,13.3,OLED,Oui,ORIGINE,ORIGINE,False,18.67,30.59,0.72,1920,1080,0,128,0
5,MACBOOK,nc,Irlande,3.1,Non,Oui,32,8.0,WIFI 6 (AX),1.6,2699,PUCE APPLE M1,Ordinateur Apple MACBOOK CTO Pro 14 M1 32Go 1To Gris sideral,Mac,14.0,Retina,Oui,ORIGINE,ORIGINE,False,31.26,1.55,22.12,3024,1964,1000,0,0
5,APPLE,standard,Chine,1.333,Non,Non,8,2.0,WIFI 6 (AX),1.8,689,INTEL CORE I7,"Ordinateur APPLE APPLE Pro 15"" 2011 i7 2.3Ghz 4GB 512GB SSD Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,512,0,0
4.2,ACER,rétroéclairé,Chine,2.3,Oui,Oui,1,4.0,WIFI 5 (N/AC),1.4,464,INTEL CORE I7,Ordinateur portable ACER Swift SF314-41-R0A4,Windows,14.0,Full HD,Non,NULL,NULL,False,22.8,32.3,1.79,1920,1080,0,0,0
5.2,RAZER,rétroéclairé,Chine,2.5,Non,Oui,16,14.0,WIFI 6 (AX),2.0,3598,INTEL CORE I7,PC Gamer RAZER BLADE 15 AM -FHD 360Hz-RTX3070,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.0,1.69,23.5,1920,1080,1000,0,0
4.2,DELL,standard,Chine,4.0,Non,Non,8,15.0,WIFI 5 (N/AC),1.7,514,INTEL CORE I5,DELL Vostro 5471 - 8Go - SSD 256Go Reconditionné,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1920,1080,256,0,0
4.1,LENOVO,rétroéclairé,Chine,2.3,Non,Non,8,4.0,WIFI 5 (N/AC),1.4,598,INTEL CORE I5,Ordinateur portable LENOVO YOGA C930-13IKB-862 Reconditionné,Windows,13.3,Full HD,Non,NULL,NULL,True,22.7,32.2,1.45,1920,1080,0,0,0
5,LENOVO,rétroéclairé,Chine,3.1,Non,Non,8,4.0,WIFI 6 (AX),2.2,699,INTEL CORE I5,PC Gamer LENOVO Ideapad Gaming 3 15IHU6,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.96,25.2,2.42,1920,1080,512,0,0
