bluetooth,brand,clavier,lieu_fabrication,frequence,lecteur_empreinte,lecteur_carte_memoire,RAM,nb_coeurs,norme_wifi,poids,price,processeur,product_type,OS,taille_ecran,type_resolution,webcam,model_CG,marque_CG,tactile,longueur,hauteur,profondeur,resolution1,resolution2,SSD,HDD,eMMC
5,MACBOOK,rétroéclairé,Chine,2.4,Non,Oui,8,2.0,WIFI 5 (N/AC),1.6,524,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Pro Retina 13 i5 2,4 Ghz 256Go Reconditionné",No OS,13.3,Retina,Oui,NULL,NULL,False,31.4,1.9,21.9,2560,1600,256,0,0
5.1,ACER,standard,Taïwan,1.1,Oui,Non,4,4.0,WIFI 6 (AX),5.0,519,INTEL PENTIUM,Ordinateur portable reconditionné ACER Swift 1 SF114-34-P5WS Reconditionné,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,21.1,2.39,32.3,1920,1080,256,0,0
4,APPLE,rétroéclairé,France,2.2,Non,Non,16,4.0,WIFI 4 (N),2.0,769,INTEL CORE I7,"APPLE Retina 15'' 2015 i7 2,2 Ghz 16 Go 512 Go Reconditionné",Mac,15.4,Retina,Oui,ORIGINE,ORIGINE,False,35.89,1.8,24.71,2880,1800,512,0,0
5,MICROSOFT,standard,Chine,1.7,Non,Non,16,4.0,WIFI 6 (AX),1.3,1949,INTEL CORE I7,Ordinateur portable MICROSOFT Surface Laptop 5 13'' I7/16/512 Noir,Windows,13.5,Full HD,Oui,INTEL_IRIS,INTEL,False,22.3,30.8,1.45,2256,1504,512,0,0
5.1,LENOVO,rétroéclairé,Chine,2.4,Non,Oui,8,4.0,WIFI 6 (AX),1.4,999,INTEL CORE I5,PC Hybride LENOVO Flex 5 CB 13ITL6 + PEN,Chrome,13.3,Full HD,Oui,INTEL_IRIS,INTEL,False,21.4,31.0,1.7,1920,1080,512,0,0
5,HP,rétroéclairé,Chine,0.0,Non,Non,32,8.0,WIFI 6 (AX),2.8,3499,INTEL CORE I9,PC Gamer HP OMEN 17-ck0000nf,Windows,17.3,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.71,2.7,26.2,2560,1440,1000,0,0
4.2,HP,standard,Chine,3.0,Non,Oui,8,2.0,WIFI 5 (N/AC),1.5,399,INTEL CORE I3,Ordinateur portable HP 14s-dq2039nf,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,32.4,1.79,22.5,1366,768,256,0,0
Non,HP,standard,Taïwan,2.3,Non,Oui,8,2.0,WIFI 4 (N),5.0,338,INTEL CORE I5,Ordinateur portable reconditionné HP EliteBook 840 G2 - 8Go - HDD 500Go Reconditionné,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,23.6,2.39,34.0,1366,768,0,500,0
5,ACER,standard,Taïwan,1.1,Non,Non,4,4.0,WIFI 5 (N/AC),5.0,499,INTEL CELERON,Ordinateur portable reconditionné ACER Aspire 3 A317-33-C503 Reconditionné,Windows,17.3,HD+,Oui,ORIGINE,ORIGINE,False,26.6,2.39,40.3,1600,900,256,0,0
5,MACBOOK,rétroéclairé,Irlande,3.2,Non,Oui,64,10.0,WIFI 6 (AX),2.2,5279,PUCE APPLE M1 MAX,Ordinateur Apple MACBOOK CTO Pro 14 M1 Max 64Go 4To SSD gris,Mac,14.0,Retina,Oui,ORIGINE,ORIGINE,False,35.57,1.68,24.81,3456,2234,4000,0,0
